N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
157,대한유화,"271,000","6,000",-2.17%,"5,000","17,615","6,500",20.92,"42,187",13.84,6.93,
158,녹십자홀딩스,"37,300",400,-1.06%,500,"17,542","47,028",5.62,"3,816,845",10.81,19.74,
159,농심,"285,500",500,+0.18%,"5,000","17,366","6,083",15.59,"29,928",11.69,7.50,
160,프레스티지바이오파마,"28,800",300,-1.03%,0,"17,308","60,096",63.60,"236,888",N/A,N/A,
161,한미반도체,"34,250",0,0.00%,200,"16,940","49,460",5.53,"1,000,419",27.98,21.03,
162,LS ELECTRIC,"55,400",600,+1.09%,"5,000","16,620","30,000",15.18,"62,880",19.51,6.15,
163,효성첨단소재,"364,500","5,500",-1.49%,"5,000","16,329","4,480",10.16,"32,750",44.99,0.03,
164,KODEX 레버리지,"27,145",10,-0.04%,0,"16,233","59,800",2.46,"33,303,589",N/A,N/A,
165,코오롱인더,"59,200",500,+0.85%,"5,000","15,971","26,979",18.93,"299,610",8.66,9.70,
166,롯데정밀화학,"61,700","1,700",+2.83%,"5,000","15,919","25,800",22.23,"268,256",8.01,12.65,
167,솔루스첨단소재,"51,800",400,-0.77%,100,"15,845","30,590",4.94,"228,138",-185.66,-5.10,
168,신세계인터내셔날,"217,500","4,500",-2.03%,"5,000","15,530","7,140",5.03,"52,468",30.50,8.24,
169,DGB금융지주,"9,060",350,-3.72%,"5,000","15,325","169,146",48.56,"1,083,047",4.61,6.93,
170,LG생활건강우,"729,000","11,000",-1.49%,"5,000","15,307","2,100",85.08,"10,588",16.19,N/A,
171,KODEX 2차전지산업,"19,060",75,+0.40%,0,"15,076","79,100",0.02,"716,511",N/A,N/A,
172,에스엘,"30,950",150,-0.48%,500,"14,919","48,203",15.75,"560,915",22.72,4.74,
173,JB금융지주,"7,550",320,-4.07%,"5,000","14,872","196,983",41.07,"876,288",4.09,10.06,
174,부광약품,"20,850",450,+2.21%,500,"14,817","71,063",4.84,"4,096,922",-156.77,-2.46,
175,종근당,"129,000",0,0.00%,"2,500","14,740","11,426",8.44,"58,812",16.60,17.88,
176,지누스,"92,700",700,-0.75%,500,"14,647","15,800",23.58,"57,919",31.83,11.61,
177,KODEX 200TR,"13,820",5,-0.04%,0,"14,470","104,700",0.00,"83,033",N/A,N/A,
178,KODEX MSCI Korea TR,"13,555",10,+0.07%,0,"14,151","104,400",0.00,"333,337",N/A,N/A,
179,KODEX 종합채권(AA-이상)액티브,"108,695",30,+0.03%,0,"13,998","12,878",0.00,"4,028",N/A,N/A,
180,NHN,"71,200",600,-0.84%,500,"13,930","19,565",10.76,"49,528",64.96,1.35,
181,롯데칠성,"154,000","4,000",-2.53%,500,"13,822","8,975",9.65,"54,967",-110.24,-1.00,
182,롯데관광개발,"19,850",700,-3.41%,500,"13,751","69,276",3.26,"962,983",-16.78,-30.43,
183,SK네트웍스,"5,530",60,-1.07%,"2,500","13,725","248,188",12.47,"786,536",39.78,1.63,
184,롯데리츠,"5,600",40,+0.72%,500,"13,606","242,969",9.54,"326,570",32.56,1.83,
185,세방전지,"95,900","5,300",+5.85%,500,"13,426","14,000",24.37,"611,552",20.26,6.14,
186,TIGER 단기통안채,"100,220",5,0.00%,0,"13,368","13,339",0.88,"2,177",N/A,N/A,
187,금호타이어,"4,565",185,-3.89%,"5,000","13,113","287,260",5.07,"1,538,479",-86.13,-6.74,
188,태광산업,"1,174,000","10,000",+0.86%,"5,000","13,071","1,113",7.34,"1,666",12.35,3.26,
